,Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Std,Bwd Packets/s,Avg Packet Size,Avg Bwd Segment Size,Subflow Bwd Packets,Label
850540,0.0,0.0,9623,9623.0,9623,0.0,0.0,0.0,0.0,0,0
452547,6.0,0.0,0,0.0,0,0.0,4444.4443,9.0,6.0,1,0
1550072,0.0,0.0,202,101.0,10,0.0,0.0,8.0,0.0,0,0
1593749,135.0,0.0,0,0.0,0,0.0,20.008404,113.5,135.0,1,0
2039727,110.0,0.0,4,4.0,4,0.0,12987.013,94.0,110.0,2,0
127182,95.8,149.52992,83532,9281.333,3,12283.71,59.8573,79.46667,95.8,5,0
444266,0.0,0.0,0,0.0,0,0.0,26315.79,0.0,0.0,1,0
1630351,94.0,0.0,31418,10472.667,4,0.0,31.858294,60.5,94.0,2,0
965878,87.0,0.0,1,1.0,1,0.0,26.478142,72.0,87.0,2,0
374142,71.0,0.0,4,4.0,4,0.0,13698.63,67.75,71.0,2,0
486742,48.0,0.0,3,3.0,3,0.0,22471.91,60.0,48.0,2,0
1988849,0.0,0.0,183,183.0,183,0.0,0.0,9.0,0.0,0,0
1969598,46.0,0.0,5162201,1290550.2,3,0.0,0.19371583,37.833332,46.0,1,0
1770145,98.0,0.0,4,4.0,4,0.0,10989.011,84.25,98.0,2,0
1825761,187.0,0.0,0,0.0,0,0.0,18.45972,154.5,187.0,1,0
236186,0.0,0.0,25596355,8532118.0,5542456,1578.2623,0.11720419,4.285714,0.0,3,0
539203,0.0,0.0,0,0.0,0,0.0,4950.495,0.0,0.0,1,0
945006,168.0,0.0,1,1.0,1,0.0,16.810114,108.0,168.0,2,0
992830,0.0,0.0,0,0.0,0,41.283573,50632.91,0.0,0.0,4,0
1529202,197.0,437.9145,116000000,4642107.5,2,5165615.5,0.1809523,165.46808,197.0,21,0
1541834,0.0,0.0,262,131.0,48,0.0,0.0,45.666668,0.0,0,0
1843666,154.0,0.0,1,1.0,1,0.0,8583.691,108.5,154.0,2,0
47938,107.0,0.0,0,0.0,0,0.0,32.83533,110.5,107.0,1,0
599655,135.0,0.0,3,3.0,3,0.0,23.686018,97.5,135.0,2,0
1618449,72.0,0.0,89000000,3870761.2,3,11600000.0,0.1347898,169.52777,72.0,12,0
1771415,70.0,0.0,48,48.0,48,0.0,11173.185,59.75,70.0,2,0
1927992,93.0,0.0,3,3.0,3,0.0,32.917477,72.75,93.0,2,0
1221969,107.82353,274.71536,116000000,6082108.5,3,4781347.0,0.14710964,93.297295,107.82353,17,0
1288309,0.0,0.0,40424,20212.0,4,0.0,0.0,661.0,0.0,0,0
229286,1125.5834,567.65594,117461426,2936535.8,1,13814089.0,0.3064836,542.4935,1125.5834,36,0
92731,534.6,710.537,5557203,793886.1,1,25949.348,0.8997332,251.38461,534.6,5,0
653181,362.5,512.5264,118000000,7867275.5,65,22100000.0,0.11863489,203.73334,362.5,14,0
1255148,161.0,0.0,0,0.0,0,0.0,32.814857,129.5,161.0,1,0
394401,79.0,0.0,3,3.0,3,0.0,69.408295,65.0,79.0,2,0
1285597,161.5,163.46725,49100000,3069999.0,6981,4487825.5,0.20428216,309.3793,161.5,12,0
318688,217.0,0.0,30455,10151.667,9,0.0,21.866766,114.0,217.0,2,0
293354,84.0,0.0,0,0.0,0,0.0,32.480186,98.0,84.0,1,0
184146,81.0,0.0,31585,10528.333,5,0.0,18.422144,51.166668,81.0,2,0
1853785,685.5,753.4682,439311,146437.0,102118,2205675.8,1.1019672,446.6,685.5,6,0
1979024,76.25,143.17908,10200000,2557671.0,192,4982674.5,0.26266584,100.55556,76.25,4,0
689460,387.2,759.85156,116000000,5266854.0,3,5162862.5,0.17260605,203.93024,387.2,20,0
330047,57.0,0.0,50,50.0,50,0.0,11173.185,59.25,57.0,2,0
1845751,6.0,0.0,0,0.0,0,0.0,47619.047,9.0,6.0,1,0
840209,80.0,0.0,4,4.0,4,0.0,7.562466,73.75,80.0,2,0
922320,53.0,0.0,4,4.0,4,0.0,84.28505,54.25,53.0,2,0
472221,18.5,26.16295,3,3.0,3,0.0,16666.666,13.75,18.5,2,0
667046,106.0,11.313708,6923241,6923241.0,6923241,0.0,0.28556702,87.5,106.0,2,0
1515513,790.0,1005.81506,6020943,752617.9,3,87210.586,0.8304347,321.2857,790.0,5,0
1892576,0.0,0.0,120000000,927324.25,0,0.0,0.0,0.0,0.0,0,0
1082519,51.0,0.0,4,4.0,4,0.0,12195.122,51.75,51.0,2,0
757330,0.0,0.0,1244707,622353.5,24177,568038.0,0.9178511,0.0,0.0,3,0
94901,0.0,0.0,5559,5559.0,5559,0.0,0.0,9.0,0.0,0,0
158896,194.11429,412.79318,115436642,4439871.0,209,4674013.5,0.30313262,412.1129,194.11429,35,0
881913,228.0,0.0,49,49.0,49,0.0,7968.1274,140.25,228.0,2,0
873897,505.875,722.4647,908046,75670.5,3,257905.2,8.810126,279.0,505.875,8,0
1228492,0.0,0.0,3,3.0,3,0.0,0.0,9.0,0.0,0,0
880632,86.0,0.0,2,2.0,2,0.0,7246.377,76.75,86.0,2,0
329260,85.0,0.0,3,3.0,3,0.0,8620.689,77.0,85.0,2,0
218202,94.5,38.890873,257073,257073.0,257073,0.0,6.9433355,93.0,94.5,2,0
799843,132.0,0.0,3,3.0,3,0.0,42.693993,88.5,132.0,2,0
1965179,0.0,0.0,5414,2707.0,49,0.0,0.0,0.0,0.0,0,0
1965261,6.0,0.0,0,0.0,0,0.0,0.7269629,9.0,6.0,1,0
1778768,0.0,0.0,0,0.0,0,0.0,10.598272,0.0,0.0,1,0
624778,6.0,0.0,301666,301666.0,301666,0.0,6.629849,7.5,6.0,2,0
369515,0.0,0.0,0,0.0,0,0.0,15151.516,0.0,0.0,1,0
1893884,0.0,0.0,5687986,2843993.0,50125,0.0,0.17580916,0.0,0.0,1,0
1254921,56.285713,81.75311,544117,108823.4,49,1745535.5,1.4991636,107.07692,56.285713,7,0
1534715,577.5714,878.92926,144364,18045.5,1,28194.35,48.488544,286.0,577.5714,7,0
1741683,122.0,0.0,1,1.0,1,0.0,28.795208,83.5,122.0,2,0
1862651,80.0,0.0,3,3.0,3,0.0,11560.693,69.25,80.0,2,0
1776998,6.0,0.0,0,0.0,0,0.0,17543.86,9.0,6.0,1,0
169640,737.1,751.977,386288,27592.0,1,60336.67,25.88742,333.8,737.1,10,0
978472,59.0,0.0,3,3.0,3,0.0,11904.762,61.75,59.0,2,0
685941,149.0,0.0,0,0.0,0,0.0,3.9092124,117.5,149.0,1,0
91158,3.0,4.2426405,96981,96981.0,96981,0.0,0.38507593,3.0,3.0,2,0
1572105,65.21429,244.00952,116000000,7740821.5,23164,3818746.5,0.1205729,45.4,65.21429,14,0
403394,0.0,0.0,0,0.0,0,0.0,16949.152,0.0,0.0,1,0
506942,106.0,0.0,4,4.0,4,0.0,11976.048,86.75,106.0,2,0
1607743,541.1429,661.71783,297960,59592.0,11740,86390.445,20.785576,319.84616,541.1429,7,0
1407693,102.0,168.07141,101000000,16900000.0,69,41200000.0,0.06904266,879.2143,102.0,7,0
1782252,66.0,0.0,1,1.0,1,0.0,10.729901,56.25,66.0,2,0
1989165,58.0,0.0,0,0.0,0,0.0,2016.129,71.0,58.0,1,0
1186000,91.0,0.0,48,48.0,48,0.0,9174.312,71.0,91.0,2,0
1881812,156.0,0.0,43987,14662.333,3,0.0,40.167095,113.666664,156.0,2,0
294458,46.0,0.0,5108580,1277145.0,3,0.0,0.19574912,37.833332,46.0,1,0
1887579,46.0,0.0,47,47.0,47,0.0,64.244644,45.5,46.0,2,0
392037,207.0,0.0,3,3.0,3,0.0,13.668952,130.5,207.0,2,0
2024283,168.0,0.0,0,0.0,0,0.0,3.24043,133.0,168.0,1,0
1712820,169.0,0.0,1,1.0,1,0.0,12.995367,116.75,169.0,2,0
1223758,591.8,773.1728,4208862,701477.0,911,41776.867,1.1879696,293.75,591.8,5,0
1724500,163.0,0.0,3,3.0,3,0.0,10101.01,107.75,163.0,2,0
794656,790.1892,742.8308,71200000,2456361.2,1,4031154.8,0.4872081,453.86566,790.1892,37,0
1594738,541.1429,661.71783,659236,94176.57,2798,124753.55,10.032736,278.0,541.1429,7,0
1576966,140.25,272.51468,325726,108575.336,39184,2859810.5,0.7790017,134.875,140.25,4,0
506572,127.0,0.0,93,93.0,93,0.0,82.40966,86.75,127.0,2,0
682578,73.0,0.0,4,4.0,4,0.0,39.13052,63.5,73.0,2,0
355204,59.0,0.0,0,0.0,0,0.0,12.626422,72.5,59.0,1,0
938586,112.0,0.0,3,3.0,3,0.0,9523.81,80.0,112.0,2,0
478839,126.0,0.0,49,49.0,49,0.0,9389.671,96.75,126.0,2,0
745679,32.666668,80.01666,23798,7932.6665,30,10304.842,120.69278,244.4,32.666668,6,0
921834,67.0,0.0,44,44.0,44,0.0,9803.922,59.75,67.0,2,0
209269,491.125,643.7505,170989,28498.166,397,30826.715,39.385002,285.53333,491.125,8,0
1896439,378.0,596.2584,116000000,5272639.5,47,5065956.0,0.17241666,201.76744,378.0,20,0
584135,134.0,0.0,0,0.0,0,0.0,4.415596,110.0,134.0,1,0
518218,88.0,0.0,1,1.0,1,0.0,36.237793,78.5,88.0,2,0
863580,99.666664,52.309975,114000000,56900000.0,21300000,50200000.0,0.026357096,85.0,99.666664,3,0
570286,92.0,0.0,0,0.0,0,0.0,16.170763,106.0,92.0,1,0
1608797,630.3333,677.21716,410892,58698.855,28662,57507.19,14.602377,297.42856,630.3333,6,0
529425,81.0,0.0,3,3.0,3,0.0,110.43012,72.0,81.0,2,0
154214,159.66667,276.55078,138203,34550.75,423,34742.984,21.7072,104.875,159.66667,3,0
491135,119.0,0.0,1,1.0,1,0.0,8771.93,88.0,119.0,2,0
1530021,46.0,0.0,4346622,1086655.5,3,0.0,0.2300637,35.833332,46.0,1,0
1029231,125.333336,304.07278,31300000,4478278.5,181,5481792.0,0.19140007,87.28571,125.333336,6,0
1939963,125.0,0.0,48,48.0,48,0.0,32.739655,88.0,125.0,2,0
25180,164.5,61.51829,68483777,68483780.0,68483777,0.0,0.029203668,137.75,164.5,2,0
827751,159.5,77.07464,87900000,87900000.0,87900000,0.0,0.022724342,114.25,159.5,2,0
231719,38.18182,80.923195,60283478,4637190.5,398,5162179.0,0.18247123,70.96,38.18182,11,0
609875,105.0,0.0,0,0.0,0,0.0,1250.0,97.5,105.0,1,0
18687,0.0,0.0,624,624.0,624,0.0,0.0,9.0,0.0,0,0
558540,17.75,16.490446,170689,5885.8276,2,19804.066,140.55637,11.148149,17.75,24,0
419767,67.0,0.0,49,49.0,49,0.0,9302.325,71.75,67.0,2,0
435331,0.0,0.0,0,0.0,0,0.0,21276.596,0.0,0.0,1,0
611860,443.25,817.0404,30900000,3861612.0,24175,5219877.5,0.2568253,259.05884,443.25,8,0
1567270,111.0,0.0,0,0.0,0,0.0,11.960292,101.5,111.0,1,0
1605187,541.1429,661.71783,449601,74933.5,961,81222.06,13.115319,297.42856,541.1429,7,0
575421,584.5,651.7809,649538,54128.168,1,102804.164,12.316446,263.66666,584.5,8,0
59831,482.06668,666.68085,117140126,8367152.0,49,21234096.0,0.12805177,268.26666,482.06668,15,0
479441,233.0,0.0,0,0.0,0,0.0,20.772747,162.5,233.0,1,0
926252,45.0,0.0,3,3.0,3,0.0,7.118223,44.25,45.0,2,0
317644,6.0,0.0,0,0.0,0,0.0,40000.0,9.0,6.0,1,0
1728335,164.0,0.0,1,1.0,1,0.0,10810.811,109.0,164.0,2,0
1273530,90.0,0.0,0,0.0,0,0.0,932.8358,103.0,90.0,1,0
987540,0.0,0.0,0,0.0,0,0.0,30.88326,0.0,0.0,1,0
1506658,648.1111,920.8764,263032,26303.2,0,5293870.5,0.58954275,326.65,648.1111,9,0
646461,451.66666,677.3232,5549699,693712.4,31,57609.613,1.0811397,221.46666,451.66666,6,0
1767256,90.0,0.0,4,4.0,4,0.0,11173.185,81.0,90.0,2,0
657595,86.5,2.1213202,42000000,42000000.0,42000000,0.0,0.0475362,71.5,86.5,2,0
603242,185.0,0.0,0,0.0,0,0.0,42.78624,149.5,185.0,1,0
1265331,526.7143,1199.3623,11500000,1276132.8,43,4071296.2,0.6094803,277.2353,526.7143,7,0
91471,0.0,0.0,5496019,2748009.5,23191,0.0,0.18194988,3.0,0.0,1,0
910349,0.0,0.0,0,0.0,0,0.0,18181.818,0.0,0.0,1,0
440030,0.0,0.0,35922,35922.0,35922,0.0,27.838093,0.0,0.0,1,0
1645191,6.0,0.0,8148,2037.0,1,0.0,122.72951,138.83333,6.0,1,0
845009,60.0,0.0,0,0.0,0,0.0,33.247997,74.0,60.0,1,0
2001926,129.0,0.0,3,3.0,3,0.0,84.71705,89.25,129.0,2,0
1594811,0.0,0.0,20809,20809.0,20809,0.0,0.0,9.0,0.0,0,0
636732,215.0,430.0,23749,11874.5,358,14502.276,81.06519,184.42857,215.0,4,0
1614925,661.0,710.8951,66638,8329.75,62,1262905.6,2.7057376,402.2,661.0,11,0
923307,886.2,809.2541,6747070,1686767.5,86675,3282264.5,0.7410624,463.4,886.2,5,0
403076,89.0,0.0,3,3.0,3,0.0,64.72701,75.25,89.0,2,0
1207405,6.0,0.0,0,0.0,0,3472945.0,0.7693087,6.857143,6.0,6,0
1714543,1334.0,0.0,3,3.0,3,0.0,3338.8982,844.0,1334.0,2,0
927092,121.0,0.0,4,4.0,4,0.0,20.702433,87.5,121.0,2,0
1748718,6.0,0.0,0,0.0,0,0.0,333333.34,9.0,6.0,1,0
98321,6.0,0.0,48,48.0,48,0.0,20833.334,26.666666,6.0,1,0
838831,464.66666,667.8517,5606452,800921.7,3,51900.55,1.0701956,241.42857,464.66666,6,0
91890,1415.9362,960.38495,114788768,1713265.2,81,3241836.0,0.81873125,934.09875,1415.9362,94,0
1727349,51.0,0.0,1,1.0,1,0.0,7.7146206,48.0,51.0,2,0
1990292,122.0,0.0,0,0.0,0,0.0,32.58709,122.0,122.0,1,0
1969593,6.0,0.0,0,0.0,0,0.0,65.80246,9.0,6.0,1,0
568717,67.0,0.0,3,3.0,3,0.0,9174.312,59.75,67.0,2,0
1510730,0.0,0.0,206,103.0,1,0.0,0.0,16.333334,0.0,0,0
1980823,132.0,0.0,48,48.0,48,0.0,32.721977,88.5,132.0,2,0
558643,86.0,0.0,1,1.0,1,0.0,10.303171,61.75,86.0,2,0
383485,69.333336,158.09195,20084356,4016871.2,4267,5405193.0,0.2018799,116.083336,69.333336,6,0
916036,73.0,0.0,15,15.0,15,0.0,83.43067,70.25,73.0,2,0
221004,143.5,200.11122,121632,60816.0,243,0.0,8.206946,150.2,143.5,2,0
432204,107.0,0.0,3,3.0,3,0.0,64.13545,85.75,107.0,2,0
1854321,95.0,0.0,3,3.0,3,0.0,11494.253,72.25,95.0,2,0
164340,223.8,427.48474,170574,18952.666,49,27392.879,29.312792,150.33333,223.8,5,0
743213,32.2,101.82534,60500000,6722939.0,460,4464789.5,0.15358728,37.55,32.2,10,0
892237,0.0,0.0,0,0.0,0,0.0,11904.762,0.0,0.0,1,0
916729,0.0,0.0,0,0.0,0,0.0,10.532857,0.0,0.0,1,0
1220536,23.0,0.0,47,47.0,47,0.0,9661.836,28.75,23.0,2,0
519909,125.0,0.0,0,0.0,0,0.0,9.000252,117.5,125.0,1,0
1210473,92.0,0.0,30565,10188.333,4,0.0,20.086573,58.166668,92.0,2,0
1513319,0.0,0.0,3,3.0,3,0.0,35714.285,0.0,0.0,1,0
1882000,678.7143,918.0249,32200000,2148388.5,1,93734.92,0.43443418,362.66666,678.7143,14,0
841520,65.0,0.0,0,0.0,0,0.0,32.29661,81.5,65.0,1,0
249606,59.0,0.0,2,2.0,2,0.0,31.976465,54.25,59.0,2,0
567653,6.0,0.0,0,0.0,0,0.0,166666.67,9.0,6.0,1,0
860671,83.0,0.0,3,3.0,3,0.0,9478.673,66.25,83.0,2,0
1854871,83.0,0.0,30940,10313.333,3,0.0,42.60849,56.0,83.0,2,0
676217,572.48,827.4842,116000000,4841024.0,3,5072026.0,0.21517485,335.44,572.48,25,0
824226,163.0,0.0,49,49.0,49,0.0,8733.624,131.75,163.0,2,0
1007959,0.0,0.0,1186,1186.0,1186,0.0,0.0,0.0,0.0,0,0
195009,1221.55,938.43,1669828,111321.87,91,1145233.5,3.0158334,709.6667,1221.55,20,0
806382,0.0,0.0,48,48.0,48,0.0,0.0,37.0,0.0,0,0
607387,132.0,0.0,3,3.0,3,0.0,10416.667,88.5,132.0,2,0
1591364,72.0,0.0,0,0.0,0,0.0,20.450735,80.0,72.0,1,0
1604757,116.0,50.91169,81300000,81300000.0,81300000,0.0,0.024591377,97.5,116.0,2,0
656440,491.33334,673.4541,21800000,1817226.4,2,4053448.8,0.55028915,295.4,491.33334,12,0
1218193,135.0,0.0,0,0.0,0,0.0,11.186308,110.5,135.0,1,0
1269525,225.0,0.0,0,0.0,0,0.0,21.417404,157.5,225.0,1,0
938997,83.0,0.0,3,3.0,3,0.0,8928.571,67.75,83.0,2,0
1959626,50.0,0.0,5,5.0,5,0.0,11695.906,50.5,50.0,2,0
260497,97.0,0.0,0,0.0,0,0.0,21.526209,92.5,97.0,1,0
1613169,6.0,0.0,20633,20633.0,20633,0.0,48.46605,186.66667,6.0,1,0
1529291,68.0,0.0,0,0.0,0,0.0,5.256684,86.0,68.0,1,0
125700,118.0,0.0,0,0.0,0,0.0,20.013208,113.0,118.0,1,0
782001,0.0,0.0,3,3.0,3,0.0,0.0,37.0,0.0,0,0
110434,337.64706,530.2491,117613242,8400946.0,4,19869916.0,0.14454155,206.40625,337.64706,17,0
193066,31.8,61.09992,5556902,926150.3,3,36467.082,0.89978194,40.916668,31.8,5,0
222116,65.14286,96.45453,386202,64367.0,165,1781161.5,1.4714288,109.5,65.14286,7,0
10518,35.2,71.08805,50550212,5616690.0,9782,4925428.0,0.16581072,36.4,35.2,10,0
1842800,90.0,0.0,3,3.0,3,0.0,33.089027,74.25,90.0,2,0
1732568,179.0,0.0,46,46.0,46,0.0,4878.049,223.0,179.0,2,0
1723950,49.0,0.0,4,4.0,4,0.0,10362.694,49.25,49.0,2,0
570630,111.0,0.0,0,0.0,0,0.0,2331.0024,101.5,111.0,1,0
130154,0.0,0.0,287,143.5,48,0.0,0.0,16.333334,0.0,0,0
2000532,213.66667,370.0815,23180,11590.0,258,39542.824,32.01229,297.83334,213.66667,3,0
877393,631.4,844.82825,6022436,752804.5,17,35084.51,0.8302288,249.78572,631.4,5,0
575507,0.0,0.0,3,3.0,3,0.0,10989.011,0.0,0.0,1,0
1458232,124.5,45.96194,28800000,28800000.0,28800000,0.0,0.06922633,104.0,124.5,2,0
22354,4.0,0.0,73,36.5,3,0.0,13698.63,3.0,4.0,1,0
1577386,498.33334,983.02655,1956799,279542.72,16,907298.06,2.27518,355.88235,498.33334,9,0
845517,2014.8518,1077.7777,107055,5947.5,109,7789.0005,252.11967,1193.3043,2014.8518,27,0
714247,123.0,0.0,4,4.0,4,0.0,11111.111,93.0,123.0,2,0
244244,915.6667,1079.6355,115525649,4278727.5,3,5040420.5,0.2596826,492.7931,915.6667,30,0
721760,97.0,43.840622,60300000,60300000.0,60300000,0.0,0.033176348,86.75,97.0,2,0
1601836,37.125,111.84744,116000000,6111823.0,3,4587750.0,0.13778299,78.333336,37.125,16,0
842736,154.42857,128.34071,35000000,2187261.2,4,236.90907,0.40004367,238.70967,154.42857,14,0
663703,38.0,76.0,5869994,978332.3,4,60721.758,0.6814317,68.27273,38.0,4,0
1956158,0.0,0.0,291,145.5,48,0.0,0.0,16.333334,0.0,0,0
292928,6.2,13.863622,40067714,8013543.0,110,471710.06,0.12478875,2.8181818,6.2,5,0
1709739,120.0,0.0,48,48.0,48,0.0,16.579073,83.25,120.0,2,0
643092,538.4,799.6811,106469,15209.857,81,20892.463,76.82675,328.83334,538.4,10,0
317837,99.0,0.0,48,48.0,48,0.0,39.46875,111.75,99.0,2,0
770683,302.63635,570.88605,117000000,4496825.5,3,5096295.5,0.18816693,223.32654,302.63635,22,0
1214501,0.0,0.0,247,123.5,48,0.0,0.0,16.333334,0.0,0,0
1073677,0.0,0.0,5991570,2995785.0,37775,0.0,0.16690116,3.0,0.0,1,0
966461,1140.1451,608.95667,116000000,728210.5,0,4320941.0,1.6064191,635.29193,1140.1451,186,0
1805037,175.0,0.0,48,48.0,48,0.0,8620.689,122.75,175.0,2,0
1620400,350.16666,546.4106,117000000,8392716.0,148,23700000.0,0.10212938,177.18518,350.16666,12,0
729360,116.0,0.0,0,0.0,0,0.0,21.138968,111.0,116.0,1,0
2008737,0.0,0.0,57137,19045.666,3,0.0,0.0,13.75,0.0,0,0
855239,506.25,621.2618,2061004,294429.16,3196,381939.84,3.7283244,275.5,506.25,8,0
51069,0.0,0.0,3,3.0,3,0.0,0.0,9.0,0.0,0,0
577847,82.0,0.0,48,48.0,48,0.0,83.2016,69.5,82.0,2,0
231183,71.0,0.0,0,0.0,0,0.0,5.2620225,90.5,71.0,1,0
1613176,877.0,1389.0817,207684,34614.0,417,47626.312,19.260029,353.0909,877.0,4,0
880777,99.0,0.0,3,3.0,3,0.0,33.437546,81.75,99.0,2,0
645590,74.0,148.0,1025605,512802.5,24066,595689.8,3.7875848,183.85715,74.0,4,0
527762,1196.1538,812.4066,40900000,1364575.1,3,3226234.8,0.8418953,695.3,1196.1538,39,0
1532987,88.82353,251.67545,116000000,7718451.5,258,4786988.0,0.14683428,75.030304,88.82353,17,0
331350,142.0,0.0,3,3.0,3,0.0,11299.435,105.5,142.0,2,0
1786864,0.0,0.0,0,0.0,0,0.0,11.831939,0.0,0.0,1,0
897777,198.0,0.0,1,1.0,1,0.0,21.368206,138.0,198.0,2,0
1666379,102.0,0.0,4,4.0,4,0.0,28.64837,78.75,102.0,2,0
337531,83.0,0.0,4,4.0,4,0.0,10810.811,66.25,83.0,2,0
2003545,0.0,0.0,188,188.0,188,0.0,0.0,0.0,0.0,0,0
1968495,163.0,0.0,3,3.0,3,0.0,10989.011,140.75,163.0,2,0
1999705,165.0,0.0,1,1.0,1,0.0,32.698975,108.0,165.0,2,0
467389,134.0,0.0,0,0.0,0,0.0,14.15308,111.0,134.0,1,0
1702655,86.0,0.0,3,3.0,3,0.0,64.224014,71.5,86.0,2,0
1258128,246.0,0.0,0,0.0,0,0.0,9.236169,169.0,246.0,1,0
174209,0.0,0.0,339672,169836.0,160,0.0,0.0,9.666667,0.0,0,0
38842,232.0,0.0,0,0.0,0,0.0,32.59346,156.0,232.0,1,0
1626708,316.0,0.0,32600000,2170074.5,3,12300000.0,0.24576731,256.45834,316.0,8,0
1885352,0.0,0.0,17935,17935.0,17935,0.0,0.0,9.0,0.0,0,0
1877797,359.0909,569.91833,1125687,140710.88,291,157355.89,7.378054,232.65,359.0909,11,0
1577001,67.0,0.0,0,0.0,0,0.0,32.894737,84.5,67.0,1,0
253542,106.0,0.0,3,3.0,3,0.0,4.217861,83.75,106.0,2,0
892266,0.0,0.0,347,173.5,3,0.0,2881.8445,0.0,0.0,1,0
1016471,60.0,0.0,1,1.0,1,0.0,8583.691,54.0,60.0,2,0
58576,1021.2917,889.709,913447,57090.438,3,1014917.94,4.1359787,646.4878,1021.2917,24,0
815345,104.0,0.0,0,0.0,0,0.0,6.196094,101.0,104.0,1,0
119586,114.0,0.0,0,0.0,0,0.0,40.97689,109.0,114.0,1,0
535439,188.33333,408.50827,1945902,121618.875,48,200239.0,12.027543,143.80487,188.33333,24,0
1971001,46.0,0.0,4762334,1190583.5,72,0.0,0.20998107,35.833332,46.0,1,0
848031,439.84616,646.8696,60600000,5510816.5,184,5253530.0,0.21443017,243.4,439.84616,13,0
