Bwd Packet Length Mean,Bwd Packet Length Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Std,Bwd Packets/s,Avg Packet Size,Avg Bwd Segment Size,Subflow Bwd Packets,Label
85.78125,220.24059,10700000,487642.5,321,806268.25,2.5701377,86.41818,85.78125,32,1
0,0,5918917,2959458.5,895,0,0.16894983,0,0,1,2
6,0,0,0,0,0,32258.064,3,6,1,5
0,0,222,222,222,0,4504.5044,9.333333,0,1,1
53,0,48,48,48,0,11111.111,54.25,53,2,0
12.533334,14.54975,6698892,837361.5,18,1346088.2,1.5389283,12,12.533334,15,1
83.181816,217.28574,10200000,509714.2,452,788512.7,2.6379263,88.01852,83.181816,33,1
12.533334,14.54975,6599218,824902.25,3,1374406.1,1.5233053,11.75,12.533334,15,1
2319,3331.6382,224007,74669,7,110198.79,13.775471,1354.5555,2319,5,4
0,0,818,409,3,0,1222.4939,0,0,1,5
551.2,751.8678,10400000,2602110.8,127,4966184.5,0.48016334,322.7,551.2,5,0
0,0,0,0,0,0,8196.722,0,0,1,1
44.666668,72.23111,64654,21551.334,26,43953.758,46.40084,167,44.666668,3,1
0,0,5534404,2767202,894,0,0.18068793,0,0,1,2
2,0,571,571,571,0,1751.3135,4,2,1,5
2,0,656,656,656,0,1524.3903,4,2,1,5
0,0,5651945,2825972.5,878,0,0.17693025,0,0,1,2
222,0,4,4,4,0,10752.688,138.75,222,2,0
0,0,10300000,3446927,985,0,0,7.5,0,0,3
12.533334,14.54975,5882446,735305.75,217,1180956.6,1.7692754,12.125,12.533334,15,1
6,0,992249,496124.5,492222,5521.09,3.0219789,3,6,3,1
12.533334,14.54975,5204402,650550.25,2,1078508.4,1.935354,12.291667,12.533334,15,1
6,0,0,0,0,0,6493.5063,3,6,1,5
12.533334,14.54975,5857300,732162.5,174,1261737.2,1.6557225,12.333333,12.533334,15,1
12.533334,14.54975,6227246,778405.75,258,1343883.5,1.5590307,12.375,12.533334,15,1
0,0,229,229,229,0,4366.812,9.333333,0,1,1
439.84616,646.8696,60600000,5510816.5,184,5253530,0.21443017,243.4,439.84616,13,0
0,0,3813925,953481.25,2,0,0,7.2,0,0,3
12.533334,14.54975,5521847,690230.9,10,1183757.9,1.7815644,12.291667,12.533334,15,1
0,0,666,333,3,0,1501.5015,0,0,1,5
12.533334,14.54975,5798011,724751.4,218,1252415.9,1.6690315,11.916667,12.533334,15,1
85.78125,220.24059,10600000,504396.8,402,775750.56,2.655911,88.01852,85.78125,32,1
92.5,185,4853870,1617956.6,911,2845792.8,0.40575466,94.125,92.5,4,2
0,0,269,269,269,0,3717.4722,9.333333,0,1,1
0,0,230,230,230,0,4347.826,9.333333,0,1,1
85.78125,220.24059,10300000,512654.94,273,837624.75,2.4733312,89.679245,85.78125,32,1
457.9,640.7698,923772,102641.336,4,132883.08,10.825182,256.65,457.9,10,0
2901.75,5795.5005,777,388.5,123,701504.94,3.288692,1661.8572,2901.75,4,3
18.5,26.16295,3,3,3,0,16666.666,13.75,18.5,2,0
12.533334,14.54975,5448786,681098.25,3,1181189.8,1.7739344,12.25,12.533334,15,1
0,0,249,249,249,0,4016.0642,9.333333,0,1,1
0,0,549,274.5,48,0,1821.4937,0,0,1,5
0,0,5685850,2842925,889,0,0.1758752,0,0,1,2
0,0,219,219,219,0,4566.21,9.333333,0,1,1
0,0,5527329,2763664.5,889,0,0.18091922,0,0,1,2
1933.5,2189.773,15443,7721.5,335,364764.72,7.183848,1291.8889,1933.5,6,3
85.78125,220.24059,8996415,449820.75,314,663068.4,3.1004055,89.679245,85.78125,32,1
12.533334,14.54975,5758065,719758.1,3,1193755.9,1.7473935,12.416667,12.533334,15,1
85.78125,220.24059,9295576,464778.8,489,746190.8,2.7915456,89.98113,85.78125,32,1
1449.375,1547.982,98700000,24700000,4,37300000,0.08101442,915.3077,1449.375,8,4
0,0,5472760,2736380,718,0,0.18272316,0,0,1,6
10,14.142136,7243,2414.3333,226,0,276.12866,3.3333333,10,2,5
190.75,381.5,85866,28622,4,2864350.2,0.7861062,140.125,190.75,4,2
0,0,0,0,0,0,4950.495,0,0,1,0
35,62.064484,332981,83245.25,30,190947.47,12.012697,39.333332,35,4,1
12.533334,14.54975,6455232,806904,48,1417209.5,1.4803625,12.333333,12.533334,15,1
12.533334,14.54975,5532392,691549,1,1144241.8,1.8212364,12.25,12.533334,15,1
2900.25,4128.3193,12983,6491.5,3,19052.602,77.87404,1661,2900.25,4,3
12.533334,14.54975,5996243,749530.4,313,1199863.4,1.7437941,12.291667,12.533334,15,1
83.181816,217.28574,12800000,610430.3,4,879074.25,2.197301,86.41818,83.181816,33,1
9.515152,21.295717,112652,5120.5454,11,18347.66,292.93753,1261.1786,9.515152,33,1
0,0,352,352,352,0,2840.9092,9.333333,0,1,1
1932.5,2181.0083,85300000,17100000,3,65842.3,0.070197545,997.8333,1932.5,6,4
12.533334,14.54975,6559664,819958,216,1367205.4,1.5381119,12,12.533334,15,1
12.533334,14.54975,6437437,804679.6,18,1254724.1,1.6803113,12.583333,12.533334,15,1
1933.5,2189.773,22384,11192,96,68786.97,33.209167,1291.8889,1933.5,6,3
12.533334,14.54975,5832051,729006.4,226,1243190.1,1.6676817,12.208333,12.533334,15,1
88.548386,223.315,9784739,543596.6,554,760242.8,2.6436665,95.06,88.548386,31,1
12.533334,14.54975,5519879,689984.9,4,1207234.4,1.7328606,12.166667,12.533334,15,1
12.533334,14.54975,5731017,716377.1,3,1262279.8,1.6594244,12.208333,12.533334,15,1
0,0,842,421,48,0,1187.6484,0,0,1,5
51,0,1,1,1,0,7.7146206,48,51,2,0
0,0,247,247,247,0,4048.583,9.333333,0,1,1
85.78125,220.24059,10500000,526196.8,327,810175.06,2.5323942,89.679245,85.78125,32,1
0,0,232,232,232,0,4310.3447,9.333333,0,1,1
2321.4,3173.3738,444,222,4,96760.52,25.718048,1454.125,2321.4,5,3
88.548386,223.315,9476264,526459.1,407,744115.9,2.7082267,95.06,88.548386,31,1
85.78125,220.24059,8351872,417593.6,524,641620.6,3.2085133,89.679245,85.78125,32,1
6,0,0,0,0,0,8264.463,9,6,1,1
0,0,560,280,19,0,1785.7142,0,0,1,5
0,0,5862442,2931221,862,0,0.17057738,0,0,1,2
0,0,5437735,2718867.5,863,0,0.1839001,0,0,1,2
0,0,960,480,1,0,1041.6666,0,0,1,5
12.533334,14.54975,6678829,834853.6,3,1346130.2,1.557701,12.333333,12.533334,15,1
1933.5,2189.773,18032,9016,2,287639.38,9.006967,1291.8889,1933.5,6,3
0,0,5014566,2507283,912,0,0.19941905,0,0,1,2
2319,4414.366,99400000,19900000,1,65005.4,0.050247885,1087.4546,2319,5,4
12.533334,14.54975,6312170,789021.25,204,1334155.5,1.5698774,12.333333,12.533334,15,1
0,0,5,5,5,0,0,9,0,0,0
85.78125,220.24059,10700000,533581,470,826143.56,2.4894795,89.679245,85.78125,32,1
0,0,110000000,6862133.5,1868902,0,0,0,0,0,5
0,0,5822133,2911066.5,888,0,0.17175835,0,0,1,2
12.533334,14.54975,5516365,689545.6,4,1190278.5,1.7550129,12.25,12.533334,15,1
12.533334,14.54975,6192452,774056.5,4,1332447.9,1.5688132,12.166667,12.533334,15,1
83.181816,217.28574,10700000,511394.44,492,852613.7,2.4552305,86.41818,83.181816,33,1
2,0,710,710,710,0,1408.4507,4,2,1,5
12.533334,14.54975,6629475,828684.4,4,1357375.1,1.5428116,12.041667,12.533334,15,1
0,0,343,343,343,0,2915.452,9.333333,0,1,1
85.78125,220.24059,10800000,540103.9,571,848402.25,2.4351618,89.679245,85.78125,32,1
85.78125,220.24059,9767064,488353.2,479,766569.4,2.659822,89.679245,85.78125,32,1
0,0,5737502,2868751,836,0,0.17429188,0,0,1,2
0,0,229,229,229,0,4366.812,9.333333,0,1,1
12.533334,14.54975,5447910,680988.75,3,1157076.8,1.8106978,12.333333,12.533334,15,1
6,0,1008350,504175,500607,4879.0366,2.973674,3,6,3,1
12.533334,14.54975,6451939,806492.4,3,1279602,1.6299492,12.458333,12.533334,15,1
0,0,229,229,229,0,4366.812,9.333333,0,1,1
0,0,5560027,2780013.5,897,0,0.17985524,0,0,1,2
1934.5,2538.9192,100000000,16700000,2,492487.12,0.05923353,897.1539,1934.5,6,3
44.666668,72.23111,76828,25609.334,45,52052.957,39.048264,48.714287,44.666668,3,1
2,3.4641016,104000000,7402068,345,28100000,0.028949402,141.5,2,3,4
12.533334,14.54975,6768155,846019.4,4,1326453.6,1.5915756,12.375,12.533334,15,1
120,0,0,0,0,0,32.76218,115,120,1,0
12.533334,14.54975,6020646,752580.75,3,1298898.1,1.6117312,12.291667,12.533334,15,1
1235.4966,978.627,117084150,1064401.4,1,2572850.2,1.255261,761.5892,1235.4966,147,0
1656.4286,2119.4802,99300000,19900000,1001,40500000,0.070413455,918.6923,1656.4286,7,4
88.548386,223.315,10200000,566882.75,321,751606.56,2.712454,94.74,88.548386,31,1
83.181816,217.28574,9095762,478724.3,257,693009.7,3.0226457,89.98113,83.181816,33,1
74,0,3,3,3,0,14.795088,70,74,2,0
12.533334,14.54975,5699991,712498.9,4,1231713.5,1.6993467,12.125,12.533334,15,1
0,0,610,305,3,0,1639.3442,0,0,1,5
12.533334,14.54975,6312202,789025.25,241,1262302.4,1.6551224,12.208333,12.533334,15,1
0,0,5903537,2951768.5,693,0,0.16938998,0,0,1,2
0,0,7503875,1875968.8,0,0,0,7.2,0,0,3
12.533334,14.54975,6077242,759655.25,218,1238146.9,1.6867688,12.208333,12.533334,15,1
0,0,0,0,0,0,13513.514,0,0,1,1
12.533334,14.54975,6206780,775847.5,4,1265628.4,1.6503371,12.458333,12.533334,15,1
85.78125,220.24059,10100000,506605.3,501,781784.5,2.6470878,89.679245,85.78125,32,1
6,0,1016241,508120.5,503897,6175.1636,2.9504821,3,6,3,1
0,0,5531629,2765814.5,1666,0,0.18077858,0,0,1,6
12.533334,14.54975,6884869,860608.6,4,1471316.6,1.4264917,12.208333,12.533334,15,1
6,0,996608,498304,497409,1309.5618,3.0087373,3,6,3,1
2,0,458,458,458,0,2183.406,4,2,1,5
85.78125,220.24059,11100000,555522.9,359,824607.2,2.4969392,89.679245,85.78125,32,1
66,0,1,1,1,0,10.729901,56.25,66,2,0
77.166664,133.37228,132311,13231.1,3,18431.033,45.347702,125.70588,77.166664,6,0
12.533334,14.54975,6741241,842655.1,3,1376840.4,1.5215807,12.375,12.533334,15,1
88.548386,223.315,12000000,664705.2,335,900735.75,2.2750711,95.06,88.548386,31,1
0,0,5414,2707,49,0,0,0,0,0,0
12.533334,14.54975,5014064,626758,249,1129208.2,1.8597766,12.208333,12.533334,15,1
6,0,0,0,0,0,27027.027,9,6,1,1
0,0,5128336,2564168,894,0,0.19499503,0,0,1,2
6,0,1010626,505313,503927,1709.0771,2.966784,3,6,3,1
44.666668,72.23111,68142,22714,65,46500.05,44.02571,48.857143,44.666668,3,1
6,0,996099,498049.5,496907,1721.805,3.0106184,3,6,3,1
1656.4286,2566.8853,85500000,21400000,1,34900000,0.081739224,999,1656.4286,7,4
1933.5,1757.7899,16420,8210,1049,256199.36,10.104157,1291.8889,1933.5,6,3
0,0,5307476,2653738,698,0,0.18841347,0,0,1,2
0,0,5375847,2687923.5,813,0,0.1860172,0,0,1,6
44.666668,72.23111,96855,32285,74,66498.445,30.974136,48.57143,44.666668,3,1
85.78125,220.24059,11000000,551764.7,274,882953.75,2.3626328,89.679245,85.78125,32,1
6,0,0,0,0,0,55555.555,9,6,1,1
0,0,5929169,2964584.5,860,0,0.1686577,0,0,1,6
6,0,1013355,506677.5,499975,9542.406,2.959,3,6,3,1
88.548386,223.315,9406000,522555.56,573,776634.4,2.619277,95.06,88.548386,31,1
12.533334,14.54975,5884269,735533.6,236,1248765.8,1.6784815,12,12.533334,15,1
12.533334,14.54975,6188169,773521.1,4,1331340.8,1.5724182,12.041667,12.533334,15,1
0,0,204,204,204,0,4901.961,9.333333,0,1,1
0,0,3752,750.4,2,0,0,0,0,0,4
0,0,5123286,2561643,878,0,0.19518723,0,0,1,2
12.533334,14.54975,6388392,798549,218,1311582.2,1.5848883,12.375,12.533334,15,1
0,0,5373658,1343414.5,244,0,0,7.2,0,0,3
6,0,38100000,38100000,38100000,0,0.05255267,3,6,2,5
2,0,695,695,695,0,1438.8489,4,2,1,5
0,0,5693820,2846910,885,0,0.17562902,0,0,1,2
0,0,290,290,290,0,3448.276,9.333333,0,1,1
12.533334,14.54975,5408071,676008.9,4,1183666.2,1.7868117,12.916667,12.533334,15,1
12.533334,14.54975,6205213,775651.6,231,1288453.6,1.610171,11.916667,12.533334,15,1
250,0,999691,333230.34,1,0,1.604019,110,250,2,0
0,0,0,0,0,0,27777.777,0,0,1,1
12.533334,14.54975,6465158,808144.75,2,1337760.5,1.5850776,12.083333,12.533334,15,1
12.533334,14.54975,6540387,817548.4,3,1360450.6,1.5386074,12.583333,12.533334,15,1
1656.4286,1947.6382,99200000,12400000,2,12471.289,0.07055823,747.4375,1656.4286,7,4
6,0,36800000,36800000,36800000,0,0.054355532,3,6,2,5
12.533334,14.54975,5538622,692327.75,3,1211289.1,1.7277666,12.583333,12.533334,15,1
12.533334,14.54975,5643029,705378.6,4,1156680.6,1.7901134,12.458333,12.533334,15,1
482.06668,666.68085,117140126,8367152,49,21234096,0.12805177,268.26666,482.06668,15,0
85.78125,220.24059,8211412,410570.6,103,669256.44,3.1237597,89.679245,85.78125,32,1
2319,1651.9458,12943,4314.3335,48,68185.875,33.399464,1329.1111,2319,5,4
0,0,221,221,221,0,4524.8867,9.333333,0,1,1
0,0,245,245,245,0,4081.6326,9.333333,0,1,1
64,0,3,3,3,0,84.70628,54.5,64,2,0
6,0,55200000,55200000,55200000,0,0.03622206,3,6,2,5
85.78125,220.24059,9749929,487496.44,317,764189.6,2.7252052,89.679245,85.78125,32,1
12.533334,14.54975,6422458,802807.25,258,1342991.6,1.5673467,12.125,12.533334,15,1
0,0,238,238,238,0,4201.6807,9.333333,0,1,1
0,0,214,214,214,0,4672.897,9.333333,0,1,1
2898.75,5790.169,99700000,16600000,3,73086.07,0.040082227,1091.909,2898.75,4,4
12.533334,14.54975,5404251,675531.4,249,1145255.4,1.8200591,12.708333,12.533334,15,1
0,0,63100000,10500000,996706,0,0,0,0,0,4
1934.5,2538.9192,894,447,97,316766.53,8.455742,1292.5555,1934.5,6,3
2,0,546,546,546,0,1831.5018,4,2,1,5
12.533334,14.54975,6466114,808264.25,217,1280261.9,1.6441032,12.458333,12.533334,15,1
0,0,5327224,2663612,824,0,0.18771502,0,0,1,2
0,0,2014,503.5,1,0,0,2.4,0,0,4
85.78125,220.24059,9880551,494027.56,353,762825.06,2.6961832,89.679245,85.78125,32,1
85.78125,220.24059,11300000,565488.9,559,868953.56,2.421034,89.679245,85.78125,32,1
85.78125,220.24059,9907973,495398.66,518,746153.25,2.7607028,89.679245,85.78125,32,1
1656.4286,2120.7322,117000000,19400000,4,47600000,0.06002741,856.8571,1656.4286,7,4
6,0,55200000,55200000,55200000,0,0.03620353,3,6,2,5
2,0,688,688,688,0,1453.4884,4,2,1,5
85.78125,220.24059,11400000,541722.5,344,875874.94,2.35592,88.01852,85.78125,32,1
12.533334,14.54975,5061232,632654,240,1138264.8,1.8069699,12.375,12.533334,15,1
0,0,5432238,2716119,863,0,0.18408619,0,0,1,2
2,0,493,493,493,0,2028.3976,4,2,1,5
0,0,5727481,2863740.5,698,0,0.17459683,0,0,1,2
83.181816,217.28574,9504728,500248.84,556,709217.44,2.9591873,89.679245,83.181816,33,1
13.2,14.672726,6627499,946785.56,3,1405578,1.5088648,11.5,13.2,10,1
12.533334,14.54975,6166707,770838.4,3,1270786.9,1.6486444,12.083333,12.533334,15,1
44.666668,72.23111,124786,41595.332,92,86275.516,24.041159,48.714287,44.666668,3,1
1656.4286,2120.7322,100000000,20000000,4,40800000,0.06988558,925.8461,1656.4286,7,4
44.666668,72.23111,62687,20895.666,67,42265.188,47.85681,48.57143,44.666668,3,1
0,0,5891644,2945822,822,0,0.16973191,0,0,1,2
12.533334,14.54975,6143971,767996.4,220,1199486.5,1.770719,12.333333,12.533334,15,1
44.666668,72.23111,90028,30009.334,189,61861.945,33.322968,48.714287,44.666668,3,1
0,0,7410823,2470274.2,3,0,0,7.5,0,0,3
12.533334,14.54975,6127970,765996.25,3,1274847,1.6457046,12.166667,12.533334,15,1
85.78125,220.24059,9931211,496560.56,311,820259.8,2.5451527,89.679245,85.78125,32,1
0,0,197,197,197,0,5076.142,9.333333,0,1,1
0,0,2888008,962669.3,4,0,0,7.5,0,0,3
85.78125,220.24059,9916876,495843.8,433,727856.1,2.8224504,89.679245,85.78125,32,1
1933.5,2189.773,33282,16641,302,14789.42,176.27876,1291.8889,1933.5,6,3
2,0,454,454,454,0,2202.643,4,2,1,5
12.533334,14.54975,5857963,732245.4,19,1204135.9,1.723225,12.291667,12.533334,15,1
44.666668,72.23111,62955,20985,53,42555.1,47.653084,48.714287,44.666668,3,1
0,0,11000000,3669800,570,0,0.18166295,3,0,2,5
812.1667,803.0981,1218320,174045.72,58,156299.77,4.9248147,372.7143,812.1667,6,0
12.533334,14.54975,6498631,812328.9,48,1371912.1,1.5366638,12.208333,12.533334,15,1
0,0,253,253,253,0,3952.569,9.333333,0,1,1
12.533334,14.54975,6876373,859546.6,3,1354764.1,1.5332791,12.083333,12.533334,15,1
85.78125,220.24059,10000000,500838.2,4,769470.6,2.6836483,89.679245,85.78125,32,1
0,0,5512253,2756126.5,903,0,0.18141402,0,0,1,6
0,0,586,293,48,0,1706.4846,0,0,1,5
0,0,228,228,228,0,4385.965,9.333333,0,1,1
0,0,5192533,2596266.5,889,0,0.19258423,0,0,1,6
88.548386,223.315,10200000,509235.06,491,802104.7,2.524405,91.40385,88.548386,31,1
6,0,0,0,0,0,5813.9536,3,6,1,5
85.78125,220.24059,10400000,496085.8,3,824585.25,2.4945025,88.01852,85.78125,32,1
0,0,5136270,2568135,873,0,0.19469382,0,0,1,6
12.533334,14.54975,5608434,701054.25,226,1199798,1.7025877,12.333333,12.533334,15,1
12.533334,14.54975,5676828,709603.5,4,1279446.5,1.6441169,12.25,12.533334,15,1
0,0,217,217,217,0,4608.295,9.333333,0,1,1
12.533334,14.54975,5833062,729132.75,210,1233872.9,1.6919917,12.458333,12.533334,15,1
92.5,185,4809163,1603054.4,691,2833167.8,0.4076566,94.125,92.5,4,2
0,0,22500000,7513916.5,257,0,0,7.5,0,0,3
88.548386,223.315,10200000,567305.6,391,764173.56,2.6508539,95.06,88.548386,31,1
1933.5,2189.773,24009,24009,24009,573308.25,4.5728292,1452.625,1933.5,6,3
0,0,228,228,228,0,4385.965,9.333333,0,1,1
1932.5,2845.8357,116000000,14500000,1,3015.7163,0.051585674,794.93335,1932.5,6,4
85.78125,220.24059,10500000,524009.3,334,831401.94,2.4917133,89.679245,85.78125,32,1
6,0,0,0,0,0,50000,9,6,1,1
2,0,575,575,575,0,1739.1305,4,2,1,5
0,0,247,247,247,0,4048.583,9.333333,0,1,1
0,0,5895756,2947878,878,0,0.16961353,0,0,1,2
0,0,5001368,2500684,431,0,0.1999453,0,0,1,6
6,0,996587,498293.5,497415,1310.2689,3.0089214,3,6,3,1
12.533334,14.54975,5958376,744797,247,1300665.9,1.6122438,12.416667,12.533334,15,1
12.533334,14.54975,6061104,757638,3,1260610.2,1.6588587,12.083333,12.533334,15,1
0,0,5799463,2899731.5,879,0,0.17242976,0,0,1,2
0,0,245,245,245,0,4081.6326,9.333333,0,1,1
6,0,0,0,0,0,5882.353,3,6,1,5
0,0,5039763,2519881.5,848,0,0.19842203,0,0,1,6
198,0,1,1,1,0,21.368206,138,198,2,0
0,0,5495979,2747989.5,866,0,0.18195121,0,0,1,2
12.533334,14.54975,6482328,810291,4,1279786.8,1.6414721,12.208333,12.533334,15,1
85.78125,220.24059,10600000,528426.9,281,786603,2.6225383,89.679245,85.78125,32,1
36.25,61.96975,194339,48584.75,19,111034,20.58259,40.11111,36.25,4,1
1932.5,2181.0083,11986,5993,4,58023.49,41.49062,1324.7778,1932.5,6,4
229,0,0,0,0,0,20.290972,157.5,229,1,0
12.533334,14.54975,5473927,684240.9,274,1135651.5,1.8403544,12.875,12.533334,15,1
12.533334,14.54975,4957758,619719.75,228,1148085.6,1.8406966,11.958333,12.533334,15,1
0,0,0,0,0,0,20833.334,0,0,1,1
88.548386,223.315,10900000,603975,502,826292.5,2.471652,95.06,88.548386,31,1
44.666668,72.23111,68031,22677,53,46374.89,44.097546,48.714287,44.666668,3,1
0,0,269,269,269,0,3717.4722,9.333333,0,1,1
85.78125,220.24059,10800000,491241.03,366,871208.06,2.385081,86.41818,85.78125,32,1
705,990.6447,6527701,1631925.2,3,3384383.8,0.43379307,411.2,705,5,4
85.78125,220.24059,9857353,492867.66,490,776108.3,2.665573,89.679245,85.78125,32,1
0,0,189,189,189,0,5291.0054,9.333333,0,1,1
8.148149,16.637543,90911,3367.074,2,10772.608,593.98755,1360.3414,8.148149,54,1
85.78125,220.24059,10000000,501254.8,576,771644.8,2.677581,89.679245,85.78125,32,1
12.533334,14.54975,6076780,759597.5,310,1252395,1.6602621,12.791667,12.533334,15,1
12.533334,14.54975,6550563,818820.4,195,1440400,1.443635,12.041667,12.533334,15,1
1933.5,1757.7899,70100000,10000000,1,562499.56,0.08405215,833.0714,1933.5,6,3
0,0,211,211,211,0,4739.3364,9.333333,0,1,1
12.533334,14.54975,5914082,739260.25,214,1278760.5,1.6391414,12.25,12.533334,15,1
0,0,1304,652,48,0,766.87115,0,0,1,5
6,0,1024023,512011.5,509195,4122.4326,2.9278977,3,6,3,1
12.533334,14.54975,6488164,811020.5,3,1339025.5,1.5822521,12.416667,12.533334,15,1
2320.2,2436.833,14468,7234,325,7668.7915,183.7965,1453.375,2320.2,5,3
12.533334,14.54975,6141058,767632.25,3,1231547.5,1.700327,12.291667,12.533334,15,1
85.78125,220.24059,10400000,520479.66,431,790695.56,2.6114848,89.679245,85.78125,32,1
12.533334,14.54975,6479334,809916.75,212,1335297.4,1.5680963,12.416667,12.533334,15,1
12.533334,14.54975,6767065,845883.1,247,1277965.5,1.6098455,12.458333,12.533334,15,1
12.533334,14.54975,6459980,807497.5,228,1393571.8,1.5046563,12.25,12.533334,15,1
85.78125,220.24059,10000000,500196.5,431,772339.56,2.682539,89.679245,85.78125,32,1
6,0,0,0,0,0,6289.308,5,6,1,5
85.78125,220.24059,10800000,540817.6,489,812369.9,2.5468736,89.679245,85.78125,32,1
1932.5,2362.7815,85400000,12200000,1,63358.86,0.07016588,852.7143,1932.5,6,4
0,0,5414135,2707067.5,869,0,0.18470171,0,0,1,6
85.78125,220.24059,10600000,530565.06,323,842588.6,2.452363,89.679245,85.78125,32,1
85.78125,220.24059,10200000,462186.47,336,767525.56,2.6587245,86.41818,85.78125,32,1
0,0,5089885,2544942.5,899,0,0.1964681,0,0,1,2
0,0,222,222,222,0,4504.5044,9.333333,0,1,1
12.533334,14.54975,5383558,672944.75,3,1231011.6,1.7258048,12.708333,12.533334,15,1
0,0,5495521,2747760.5,864,0,0.18196636,0,0,1,2
83.181816,217.28574,12000000,601056.56,222,895024.1,2.3656416,88.01852,83.181816,33,1
2900.25,4128.3193,97900000,12200000,1,3768.1802,0.04085939,897.61536,2900.25,4,3
1932.5,2989.5588,100000000,14300000,449,44800000,0.059613913,880.5,1932.5,6,4
12.533334,14.54975,6451767,806470.9,49,1320336.9,1.5496124,12.291667,12.533334,15,1
694.2308,362.71973,34200000,169128.67,853,467595.1,3.0439305,378.342,694.2308,104,2
85.78125,220.24059,11800000,538274.25,483,909695.2,2.2818475,86.41818,85.78125,32,1
0,0,20222,5055.5,256,0,0,0,0,0,5
44.666668,72.23111,65930,21976.666,72,44722.383,45.502808,48.714287,44.666668,3,1
12.533334,14.54975,5374108,671763.5,3,1118878.6,1.862114,12.666667,12.533334,15,1
85.78125,220.24059,10900000,544932.6,438,842570.8,2.46293,89.679245,85.78125,32,1
85.78125,220.24059,11000000,548020.44,273,849011.4,2.4208846,89.679245,85.78125,32,1
12.533334,14.54975,6176949,772118.6,4,1305088.2,1.6043788,12.041667,12.533334,15,1
12.533334,14.54975,6164337,770542.1,258,1294362.8,1.6229934,12.291667,12.533334,15,1
12.533334,14.54975,6200401,775050.1,3,1286359.5,1.624039,12.333333,12.533334,15,1
6,0,1028959,514479.5,513368,1549.978,2.9141011,3,6,3,1
12.533334,14.54975,6082226,760278.25,218,1169723.4,1.7927957,12.583333,12.533334,15,1
12.533334,14.54975,5647219,705902.4,49,1248221.6,1.6780783,12.583333,12.533334,15,1
85.78125,220.24059,11200000,558463.25,315,897639.7,2.3066664,89.679245,85.78125,32,1
2320.2,3022.508,8628,4314,165,19659.268,98.80837,1453.375,2320.2,5,3
2320.2,3022.508,38521,19260.5,186,18290.322,106.7327,1453.375,2320.2,5,3
85.78125,220.24059,11300000,564088.2,458,857390.1,2.4159217,89.679245,85.78125,32,1
12.533334,14.54975,6553136,819142,3,1367600.1,1.5391823,12.291667,12.533334,15,1
85.78125,220.24059,10300000,488542.38,249,787324.9,2.6398265,88.01852,85.78125,32,1
44.666668,72.23111,74361,24787,21,50705.215,40.343727,48.714287,44.666668,3,1
12.533334,14.54975,5922909,740363.6,3,1185269.2,1.7660774,12.291667,12.533334,15,1
12.533334,14.54975,5758576,719822,4,1146118.5,1.8205651,12.166667,12.533334,15,1
0,0,5873515,2936757.5,875,0,0.1702558,0,0,1,2
12.533334,14.54975,5559449,694931.1,249,1175272.5,1.7768434,12.25,12.533334,15,1
0,0,190,190,190,0,10526.315,7,0,2,1
12.533334,14.54975,6339752,792469,223,1275070,1.6022911,12.708333,12.533334,15,1
